Station,UTC_Hour,Pair,Frequency_Hz,PLV,Hour_Threshold,Passed
IST,2017-03-28T00,H-D,1.071,0.38419763306355836,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.072,0.3821684858403264,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.073,0.3797376350766673,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.074,0.37613797283850636,0.3742586419530446,1
IST,2017-03-28T00,H-D,1.075,0.3726317971683135,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.076,0.36986595377125375,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.077,0.3676387004305855,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.078,0.3656694821340591,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.079,0.3638745721916527,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.08,0.3622045658673509,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.081,0.36062735437416893,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.082,0.35911987223532627,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.083,0.3576623473452033,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.084,0.35623591624948925,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.085,0.35482672900542467,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.086,0.35343515778335677,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.087,0.3520859601652144,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.088,0.3507814642566976,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.089,0.3494128789057923,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.09,0.3479588260480485,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.091,0.34645798193332505,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.092,0.3449433249397243,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.093,0.3434534158313884,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.094,0.3419133747390629,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.095,0.3402244400641206,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.096,0.3384073898089662,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.097,0.3364666508765718,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.098,0.33437896767376213,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.099,0.33217544000271865,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.1,0.32918988387621073,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.101,0.32657776678686223,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.102,0.3239560613604502,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.103,0.32118087573728443,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.104,0.31810464602881366,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.105,0.31541354230335006,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.106,0.3128116511233583,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.107,0.3102516183052331,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.108,0.30756946519266304,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.109,0.3046508850090578,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.11,0.3016488065698748,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.111,0.29894156079685175,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.112,0.29633490820656194,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.113,0.29359044836730963,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.114,0.29085641492037045,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.115,0.2884435262947258,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.116,0.28623950079813104,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.117,0.2841840187897356,0.3742586419530446,0
IST,2017-03-28T00,H-D,1.118,0.28225498181359865,0.3742586419530446,0
