Station,UTC_Hour,Pair,Frequency_Hz,PLV,Score
IST,2017-03-28T00,H-D,1.426,0.38308487521451046,3.8308487521451045
IST,2017-03-28T00,H-D,1.427,0.3806961613816504,3.806961613816504
IST,2017-03-28T00,H-D,1.428,0.37843528893770617,3.784352889377062
IST,2017-03-28T00,H-D,1.429,0.3760771135309396,3.7607711353093958
IST,2017-03-28T00,H-D,1.542,0.37709650442385007,3.7709650442385008
IST,2017-03-28T00,H-D,1.543,0.3803075205473513,3.8030752054735126
IST,2017-03-28T00,H-D,1.544,0.38282122630712334,3.8282122630712334
IST,2017-03-28T00,H-D,1.545,0.3849604197790082,3.849604197790082
IST,2017-03-28T00,H-D,1.546,0.3874374320814814,3.8743743208148143
IST,2017-03-28T00,H-D,1.547,0.3894872295813372,3.894872295813372
IST,2017-03-28T00,H-D,1.548,0.3913880397786626,3.913880397786626
IST,2017-03-28T00,H-D,1.549,0.39321986786659563,3.9321986786659564
IST,2017-03-28T00,H-D,1.55,0.39498983753466976,3.949898375346698
IST,2017-03-28T00,H-D,1.551,0.3965717070684194,3.9657170706841938
IST,2017-03-28T00,H-D,1.552,0.39789893863536474,3.978989386353647
IST,2017-03-28T00,H-D,1.553,0.3989034791630905,3.989034791630905
IST,2017-03-28T00,H-D,1.554,0.4002698489179207,4.002698489179207
IST,2017-03-28T00,H-D,1.555,0.40192967436718874,4.019296743671887
IST,2017-03-28T00,H-D,1.556,0.40343429352478755,4.034342935247875
IST,2017-03-28T00,H-D,1.557,0.4050753584907346,4.050753584907346
IST,2017-03-28T00,H-D,1.558,0.40637662225171584,4.063766222517159
IST,2017-03-28T00,H-D,1.559,0.40752304051258065,4.075230405125806
IST,2017-03-28T00,H-D,1.56,0.4085288802691788,4.085288802691788
IST,2017-03-28T00,H-D,1.561,0.40940467827078086,4.094046782707808
IST,2017-03-28T00,H-D,1.562,0.4101544697587537,4.101544697587537
IST,2017-03-28T00,H-D,1.563,0.410701226080526,4.10701226080526
IST,2017-03-28T00,H-D,1.564,0.41083852049634206,4.108385204963421
IST,2017-03-28T00,H-D,1.565,0.41127066001672086,4.112706600167209
IST,2017-03-28T00,H-D,1.566,0.4115996702403717,4.1159967024037165
IST,2017-03-28T00,H-D,1.567,0.4118284118012595,4.118284118012595
IST,2017-03-28T00,H-D,1.568,0.4119593802666279,4.119593802666278
IST,2017-03-28T00,H-D,1.569,0.4119886887153295,4.119886887153295
IST,2017-03-28T00,H-D,1.57,0.4119074519610826,4.119074519610826
IST,2017-03-28T00,H-D,1.571,0.41168351727924263,4.116835172792427
IST,2017-03-28T00,H-D,1.572,0.41129158324012116,4.112915832401212
IST,2017-03-28T00,H-D,1.573,0.4110678160142309,4.110678160142309
IST,2017-03-28T00,H-D,1.574,0.41096595938515273,4.109659593851528
IST,2017-03-28T00,H-D,1.575,0.41092960230163317,4.109296023016332
IST,2017-03-28T00,H-D,1.576,0.4109254025127679,4.109254025127679
IST,2017-03-28T00,H-D,1.577,0.4109595755489869,4.1095957554898686
IST,2017-03-28T00,H-D,1.578,0.41101936664507316,4.110193666450732
IST,2017-03-28T00,H-D,1.579,0.4111138626831927,4.111138626831927
IST,2017-03-28T00,H-D,1.58,0.41123503678555373,4.112350367855537
IST,2017-03-28T00,H-D,1.581,0.41139764676712415,4.113976467671241
IST,2017-03-28T00,H-D,1.582,0.4115978970460883,4.115978970460883
IST,2017-03-28T00,H-D,1.583,0.4115621134320427,4.115621134320427
IST,2017-03-28T00,H-D,1.584,0.41234511625938464,4.123451162593846
IST,2017-03-28T00,H-D,1.585,0.41334920645503115,4.133492064550311
IST,2017-03-28T00,H-D,1.586,0.41408266799747,4.1408266799747
